acier;steel
ampoule;light bulb
arracher;to pluck 
arroser;to water
béton;concrete
bois;wood
brique;brick
caoutchouc;rubber
carreau;tile
carrelage;stone floor
centimètre;tape measure
dalle;paving stone
échelle;ladder
éléctricité;electricity
granit;granite
gratter, racler;to scrape
greffer;to graft
inodore;scentless
inoffensif;harmless
luxuriant, touffu;rank
maçonnerie;masonry
menuiserie;woodwork
niveau;level
nuisible;harmful
odorant;fragrant
papier peint;wallpaper
parfumé;sweet-smelling
peinture;paint
pierre;stone
plâtre;plaster
