s'habiller;to dress
porter un vetement;to wear
se deshabiller;undress
enleve;to take off
elegant, chic;elegant, smart
les sous-vetements;underclothing
un calecon;pants
un slip;briefs
une chemise;a shirt
 un col;a collar
une cravate;a tie
un pantalon;trousers
une ceinture;a belt
une veste en cuir;a leather jacket
un manteau;a coat
une écharpe;a scarf
un impermeable;a raincoat
des pantoufles;slippers
une salopette;overalls
des blue-jeans;jeans
un survetement;a tracksuit
un soutien-gorge;a bra
des collants;(a pair of) tights
une jupe;a skirt
un pull;a jumper
une robe;a dress
un sac a main;a handbag
la mode;fashion
des bijoux;jewels
coudre;to sew
