beurre;butter
fromage;cheese
crème;cream
cabillaud, morue;cod
crabe;crab
poisson;fish
poisson frit avec des frites;fish and chips
bâtonnets de poisson;fish fingers (uk)
églefin;haddock
harreng;herring
hareng fumé et salé;kipper
homard;lobster
maquereau;mackerel
moules;mussels
pieuvre;octopus
huîtres;oysters
carrelet;plaice
crevette (rose);prawn, shrimp (us)
saumon;salmon
sardine;sardine
langoustines;scampi
crustacés;shellfish
poisson fumé;smoked fish
sole;sole
calamar;squid
truite;trout
thon;tuna (fish)
merlan;whiting
artichaut;artichoke
asperge;asparagus
