l'humour;humour
une humeur;a humour
un caractère;a temper
une disposition;a mood
la sensibilité;sensibility
les sentiments;feelings
une émotion;an emotion
l'amour;love
la tendresse;foundness
l'aversion;dislike
la haine;hatred
le dégoût;loathing
l'envie;envy
la jalousie;jealousy
le dépit,la rancune;spite
la colère;anger
la douceur;mildness
la sévérité;harshness
la surprise;surprise
l'admiration;wonder
le mépris;contempt
le dédain;disdain
une appréhension;a misgiving
un pressentiment;a foreboding
la crainte ;fear
la terreur ;fright,teror
l'effroi;awe
l'espoir;hope
le désespoir;despair
le découragement;despondency
