la boxe;box
la patinoire;the ice rink
la plongée;diving
le badminton;badminton
le ballon;the ball
le basket;the basketball
le court de tennis;the court
le filet;the net
le football;soccer
le handball;handball
le hockey sur glace;ice hockey
le rugby;rugby
le ski;ski
tennis;tennis
le tir a l'arc;archery
le volant ;the shuttlecock
les joueurs;players
les patins a glace;ice skates
l'adversaire;the opponent
l'aviron;rowing
l'escrime;fencing
ping pong;table tennis
un entraineur;un coach
un gardien de but ;a goalkeeper
une equipe;a team
une raquette;a racket
la mi-temps;half-time
periode;half
le but;goal
la sanction;sanction
